"Bureau of Justice Statistics",,
"filename:  sdna9809.csv",,
"Table 9.  Agencies or organizations submitting DNA samples to laboratories for analysis, 1998",,
"title:  Survey of DNA Crime Laboratories, 1998 NCJ # 179104",,
"data source:  Survey of DNA Crime Laboratories, 1998 ICPSR # xxxx",,
"author:  Greg W. Steadman",,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,
"date of version:  2/14/00",,
,,
"Table 9.  Agencies or organizations submitting DNA samples to laboratories for analysis, 1998",,
,,
,"Labs receiving DNA",
,"cases/samples",
"Submitting agency","Number","Percent"
,,
"State police",68,65%
"Local police/sheriff",102,98%
"State corrections",45,43%
"Medical examiner",50,48%
"Other agencies",29,28%
,,
"Note:  Multiple responses were possible.",,
