"Bureau of Justice Statistics",,
"filename:  sdna98t2.csv",,
"Text table 2.  DNA laboratory method of counting workload, 1998",,
"title:  Survey of DNA Crime Laboratories, 1998 NCJ # 179104",,
"data source:  Survey of DNA Crime Laboratories, 1998 ",,
"author:  Greg W. Steadman",,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,
"date of version:  2/14/00",,
,,
"Text table 2.  DNA laboratory method of counting workload, 1998",,
,,
,"Labs performing",
,"DNA analyses",
"Unit for counting","Number","Percent"
,,
"    Total",103,100%
,,
"Case",100,97%
"Evidence",7,7%
"Sample",11,11%
"Other",6,6%
,,
"Note: Details do not add to total because of multiple responses.",,
