"Bureau of Justice Statistics",,
"filename:  sdna9802.csv",,
"Table 2.  Agencies responsible for DNA laboratories, 1998",,
"title:  Survey of DNA Crime Laboratories, 1998 NCJ # 179104",,
"data source:  Survey of DNA Crime Laboratories, 1998 ",,
"author:  Greg W. Steadman",,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,
"date of version:  2/14/00",,
,,
"Table 2.  Agencies responsible for DNA laboratories, 1998",,
,,
,"Labs performing DNA analyses",
"Government agency","Number","Percent"
,,
"    Total",106,100%
,,
"State police",44,42%
"Local police/sheriff",27,25%
"Prosecutor's office",3,3%
"Other",35,33%
,,
"Note:  Details do not add to total because of multiple responses.",,
