"Bureau of Justice Statistics",,
"filename:  sdna9814.csv",,
"Table 14.  Forensic laboratory programs to review inactive, closed, or previously analyzed DNA cases 1998",,
"title:  Survey of DNA Crime Laboratories, 1998 NCJ # 179104",,
"data source:  Survey of DNA Crime Laboratories, 1998 ",,
"author:  Greg W. Steadman",,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,
"date of version:  2/14/00",,
,,
"Table 14.  Forensic laboratory programs to review inactive, closed, or previously analyzed DNA cases 1998",,
,,
,"Labs receining DNA cases/samples",
,"Number","Percent"
,,
"Had a program to review DNA cases",70,65%
,,
"Reasons cases were reviewed",,
"    Requested by submitting agency",53,49%
"    DNA not tested before",32,30%
"    DNA test with earlier method",21,19%
"    Other",7,6%
,,
"Note: Multiple responses reported.",,
