"Bureau of Justice Statistics",,
"filename:  sdna9813.csv",,
"Table 13.  Forensic laboratory criteria for assigning or starting DNA cases, 1998",,
"title:  Survey of DNA Crime Laboratories, 1998 NCJ # 179104",,
"data source:  Survey of DNA Crime Laboratories, 1998 ",,
"author:  Greg W. Steadman",,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,
"date of version:  2/14/00",,
,,
"Table 13.  Forensic laboratory criteria for assigning or starting DNA cases, 1998",,
,,
,"Labs receining DNA cases/samples",
"System for prioritizing cases","Number","Percent"
,,
"Had a priority system for",,
"starting DNA cases",98,92%
,,
"Criteria for starting cases",,
"    Date evidence is received",38,36%
"    Court date",87,81%
"    Prison release date",3,3%
"    Prosecutor's request",54,50%
"    Other",31,29%
,,
"Note: Multiple responses reported.",,
