,ratings2,ratings1,counts2,counts1,dev2,dev1
total_number,34.1049672532155,56.33756009860939,50692,73421.0,33.519224756930086,29.015685814697672
1,,0.9019966275293563,0,32024.0,,5.2429975193315475
2,,0.16298919976188292,0,35277.0,,5.627971821045825
3,,0.19341090056169238,0,32402.0,,5.448998092998551
4,,-1.4125989774514858,0,30512.0,,5.276202175800654
5,-2.034617932862191,0.23535236019345085,566,73405.0,5.423288828279284,5.3029020032201055
6,,1.3302770271976525,0,39599.0,,4.976993871798986
7,-1.9525103813224967,-0.633946676475797,50692,73401.0,5.370893270191072,5.610901853551005
8,-0.7164998915016176,-0.9962671806677414,50692,73411.0,5.153370764282953,4.968263210319047
9,,-0.6200393611138223,0,30741.0,,5.201667237015939
10,,1.1817056312258483,0,39352.0,,5.183989074413843
11,,1.728665323242042,0,42677.0,,4.942994839596069
12,,1.5043600220365407,0,43564.0,,4.843208640170552
13,-0.6492629507614613,-1.9448586608541392,50692,73405.0,5.4278010349176276,5.137793499735258
14,,1.3202849723228312,0,43899.0,,5.13687232701886
15,-1.430683095952024,-2.112506062174747,50692,73406.0,5.337914829528826,5.123141391827446
16,-1.6304464955022488,-3.103138326135258,50692,73399.0,5.41719600023578,5.028330375222494
17,0.6746127347510456,-1.2881012899622644,50692,73413.0,5.306346599714129,4.43918350685994
18,-0.12753183441174148,-0.9061631518718338,50692,73404.0,5.157550697538675,4.9931846159700255
19,0.7746433115679002,0.17155981799852718,50692,73406.0,5.314873711487832,5.048561412625117
20,-0.7028164272890485,-1.2032695818008254,557,73410.0,5.675657931514326,5.158966416116988
21,2.98919088816911,2.1068039718573632,11732,57706.0,5.053295585914328,4.941083128657189
22,1.2845631711295364,0.8813262231574958,7357,41818.0,5.103512899417349,5.1477670930352275
23,1.081557606263982,0.17138772358769833,6705,38855.0,5.078452568697847,5.163199299671844
24,-1.057448462041885,-1.7308062025479296,4584,31084.0,5.626845498502841,5.2557072435599395
25,1.2027819805387445,0.418396084151199,8427,40451.0,5.112047660772083,5.093072024201757
26,2.5151284922158244,1.2071649526943604,9378,48620.0,4.971490432371942,4.890584434747422
27,2.9338485054347827,2.9079890132608406,368,67718.0,5.397028471090051,4.734049721586279
28,2.150815355329949,1.3926599571561324,9850,49482.0,5.102253895381609,5.076002794650689
29,3.0458418703986663,2.619509729367041,14398,67065.0,4.8868303367858426,4.956544223908666
30,1.0488805970149253,-0.4743348276748234,5360,35021.0,4.932494232450718,4.9971020437652225
31,2.372554347826087,1.9530465672608242,230,55597.0,5.100907009238889,5.027776139800396
32,3.504556077360334,2.974697888386127,22518,66300.0,4.449738370947285,4.620225343552158
33,-0.18426606007454505,-1.3863934678312053,4561,32516.0,5.363975754053995,5.291157250723444
34,0.7256211010178395,0.9218646247369591,9137,42770.0,5.079828721914025,5.060449302106844
