"Bureau of Justice Statistics",,,,
"Filename: sdna0105.csv",,,,
"Table 5. Standard guidelines DNA crime laboratories follow, 2001",,,,
"Title of Report:  Survey of DNA Crime Laboratories, 2001, NCJ-191191",,,,
"Data source:  National Survey of DNA Laboratories, 2001",,,,
"Author:  Greg Steadman",,,,
"Refer questions to: (202) 307-0765 or askbjs@ojp.usdoj.gov",,,,
"Date version:  01/31/02",,,,
,,,,
"Table 5. Standard guidelines DNA crime laboratories follow, 2001",,,,
,,,,
,"States and laboratories",,,
"Guidelines","Number",,"Percent",
"    Total  ",110,,100,"%"
,,,,
"Quality Assurance Guidelines of the FBI"," 93",," 85"," %"
"SWGDAM",62,,56,
"In-house standards",10,,9,
"Other",1,,1,
,,,,
"Note:  Percentages do not add to 100% because of multiple responses. ",,,,
"SWGDAM  Scientific Working Group on DNA Analysis and Methodology ",,,,
